id,branch,address,link,icon,longitude,latitude
Az-Shop-0117,Spinneys Maxim Mall,"North 90th Street,Inside Spinneys Maxim Mall,Fifth Settlement",https://maps.app.goo.gl/BUTj1tZqDmwayizEA,https://al-azab.co/img/icons-5060.png,31.496699,30.0295773
Az-Shop-0118,Spinneys-Arena Mall,"Banks Center , 90th Street , First New Cairo.",https://goo.gl/maps/wp2YqwJcDG2ev9H47,https://al-azab.co/img/icons-5060.png,31.4216236,30.0182829
Az-Shop-0119,Spinneys-Maadi,"Street 250, Maadi at Sarayat Al Gharbeyah, opposite to Maadi Grand Mall.",https://goo.gl/maps/zzJK2bNZR2SFVS8A7,https://al-azab.co/img/icons-5060.png,31.2701317,29.9656959
Az-Shop-0120,Spinneys-Pearl Des Rois,"End of AUC St, beside Banque Misr, 3rd Settlement",https://goo.gl/maps/PfknvHxXunu6vrrY8,https://al-azab.co/img/icons-5060.png,30.802498,26.820553
Az-Shop-0121,Spinneys-Zahraa Al-Maadi,"Hub, 50 Mall Zahraa Al Maadi, Cairo",https://goo.gl/maps/LhAUQZqTZqSa2dpQA,https://al-azab.co/img/icons-5060.png,31.3144469,29.9691862
Az-Shop-0122,The Park Mall,"Park Mall ,5th Settlement, in front of Lulu Hypermarket beside Porto Cairo Hotel near to American Uni.",https://goo.gl/maps/zjRa5qDosrUr8KJf8,https://al-azab.co/img/icons-5060.png,31.4284756,30.0084868
Az-Shop-0123,Tseppas - Genena Mall,"9 El Batrawy Street, Genena Mall, Nasr City",https://maps.app.goo.gl/CnRxwhD31VjUz6wBA,https://al-azab.co/img/icons-5060.png,31.3321901,30.060953
Az-Shop-0124,Tseppas Heliopolis,"45 Abu Bakr Al-Siddiq St., Intersection of Haroun St., Court Square, Heliopolis, Cairo, in front of Al-Nasr Schools.",https://maps.app.goo.gl/HEctf2R2vbdi7UVp8,https://al-azab.co/img/icons-5060.png,31.3326398,30.1021743
Az-Shop-0125,Up Town-Moktam,The new plaza in front of Celestia Gardens,https://maps.app.goo.gl/r3KheWF8sx4ARhCe6,https://al-azab.co/img/icons-5060.png,30.802498,26.820553
Az-Shop-0126,Wadi Degla - Settlement,Nakheel Compound - First Settlement - Wadi Degla Club - Tennis Area,https://www.abuauf.com/en/branches,https://al-azab.co/img/icons-5060.png,31.4226647,30.0549189
Az-Shop-0127,Wadi Degla Maadi,The 4th part Zahraa Maadi beside the Kuwaiti mosque inside the club Gate 4,https://maps.app.goo.gl/osbhsb4jPVThDyZR7,https://al-azab.co/img/icons-5060.png,31.2589346,29.9595144
Az-Shop-0128,Watania-Al Rehab,In front of Gate 1 Al-Rehab - Cairo Tahrir Axis,https://goo.gl/maps/sA5ikk1JVTHkai2b9,https://al-azab.co/img/icons-5060.png,31.4994979,30.0545161
Az-Shop-0129,Watanya El-Maadi,"SaKr Kuraish Road, in front of Banque Misr, From Al-Nasr Street, next to American Aid and McDonald's",https://maps.app.goo.gl/XfSSSiQYn3UjNxXL6,https://al-azab.co/img/icons-5060.png,31.0152768,29.9736306
Az-Shop-0130,Zamalek Brazil,"5 Brazil Street, Zamalek, in front of Orange",https://goo.gl/maps/dztma2e4jg4zdWby5,https://al-azab.co/img/icons-5060.png,31.2226419,30.0607482
Az-Shop-0131,Zamalek Taha Husein,"2 Taha Hussein, in front of Al Yamamah Center, next to the National Bank of Kuwait. Shop More at Physical Stores Online Stores",https://maps.app.goo.gl/Ux8HGCLXh9oNTFrr6,https://al-azab.co/img/icons-5060.png,30.802498,26.820553
